"Electrode"	"AvgAmp"	"Condition"	"Subject"	"faceRace"	"FixArea"
"P8/T6"	2.740454	"Black_fore"	3	"Black"	"fore"
"TP7"	1.290819	"Black_fore"	3	"Black"	"fore"
"TP8"	2.393153	"Black_fore"	3	"Black"	"fore"
"P7/T5"	1.859996	"Black_fore"	3	"Black"	"fore"
"VEOG"	1.315858	"Black_fore"	3	"Black"	"fore"
"HEOG"	-0.317483	"Black_fore"	3	"Black"	"fore"
"Nose"	2.454789	"Black_fore"	3	"Black"	"fore"
"FZ"	0.929197	"White_eyes"	3	"White"	"eyes"
"FC3"	1.690443	"White_eyes"	3	"White"	"eyes"
"FCZ"	2.290786	"White_eyes"	3	"White"	"eyes"
"FC4"	2.181588	"White_eyes"	3	"White"	"eyes"
"C3"	2.205251	"White_eyes"	3	"White"	"eyes"
"CZ"	2.85376	"White_eyes"	3	"White"	"eyes"
"C4"	2.998703	"White_eyes"	3	"White"	"eyes"
"CP3"	2.520032	"White_eyes"	3	"White"	"eyes"
"CPZ"	2.972734	"White_eyes"	3	"White"	"eyes"
"CP4"	3.765609	"White_eyes"	3	"White"	"eyes"
"P3"	3.414298	"White_eyes"	3	"White"	"eyes"
"PZ"	2.765395	"White_eyes"	3	"White"	"eyes"
"P4"	4.567579	"White_eyes"	3	"White"	"eyes"
"OZ"	3.250198	"White_eyes"	3	"White"	"eyes"
"FP1"	0.196751	"White_eyes"	3	"White"	"eyes"
"FP2"	-0.49615	"White_eyes"	3	"White"	"eyes"
"A2"	-0.26845	"White_eyes"	3	"White"	"eyes"
"P8/T6"	3.339323	"White_eyes"	3	"White"	"eyes"
"TP7"	1.381558	"White_eyes"	3	"White"	"eyes"
"TP8"	2.562643	"White_eyes"	3	"White"	"eyes"
"P7/T5"	1.686145	"White_eyes"	3	"White"	"eyes"
"VEOG"	2.480488	"White_eyes"	3	"White"	"eyes"
"HEOG"	-1.272752	"White_eyes"	3	"White"	"eyes"
"Nose"	0.423692	"White_eyes"	3	"White"	"eyes"
"FZ"	1.968379	"White_fore"	3	"White"	"fore"
"FC3"	1.983552	"White_fore"	3	"White"	"fore"
"FCZ"	3.147944	"White_fore"	3	"White"	"fore"
"FC4"	3.981308	"White_fore"	3	"White"	"fore"
"C3"	2.752476	"White_fore"	3	"White"	"fore"
"CZ"	3.546138	"White_fore"	3	"White"	"fore"
"C4"	4.278112	"White_fore"	3	"White"	"fore"
"CP3"	3.178421	"White_fore"	3	"White"	"fore"
"CPZ"	3.622055	"White_fore"	3	"White"	"fore"
"CP4"	4.712417	"White_fore"	3	"White"	"fore"
"P3"	4.205915	"White_fore"	3	"White"	"fore"
"PZ"	3.473758	"White_fore"	3	"White"	"fore"
"P4"	5.260349	"White_fore"	3	"White"	"fore"
"OZ"	0.201966	"White_fore"	3	"White"	"fore"
"FP1"	1.00121	"White_fore"	3	"White"	"fore"
"FP2"	0.19151	"White_fore"	3	"White"	"fore"
"A2"	-0.499819	"White_fore"	3	"White"	"fore"
"P8/T6"	3.646479	"White_fore"	3	"White"	"fore"
"TP7"	1.649903	"White_fore"	3	"White"	"fore"
"TP8"	2.954337	"White_fore"	3	"White"	"fore"
"P7/T5"	2.928604	"White_fore"	3	"White"	"fore"
"VEOG"	3.080386	"White_fore"	3	"White"	"fore"
"HEOG"	-1.365336	"White_fore"	3	"White"	"fore"
"Nose"	0.706424	"White_fore"	3	"White"	"fore"
"FZ"	2.866005	"Black_eyes"	4	"Black"	"eyes"
"FC3"	2.494197	"Black_eyes"	4	"Black"	"eyes"
"FCZ"	3.810372	"Black_eyes"	4	"Black"	"eyes"
"FC4"	2.336268	"Black_eyes"	4	"Black"	"eyes"
"C3"	2.057068	"Black_eyes"	4	"Black"	"eyes"
"CZ"	3.184042	"Black_eyes"	4	"Black"	"eyes"
"C4"	2.20015	"Black_eyes"	4	"Black"	"eyes"
"CP3"	0.922813	"Black_eyes"	4	"Black"	"eyes"
"CPZ"	2.454729	"Black_eyes"	4	"Black"	"eyes"
"CP4"	1.502623	"Black_eyes"	4	"Black"	"eyes"
"P3"	-0.530425	"Black_eyes"	4	"Black"	"eyes"
"PZ"	1.388175	"Black_eyes"	4	"Black"	"eyes"
"P4"	0.663333	"Black_eyes"	4	"Black"	"eyes"
"OZ"	-0.039411	"Black_eyes"	4	"Black"	"eyes"
"FP1"	-0.708619	"Black_eyes"	4	"Black"	"eyes"
"FP2"	-0.910631	"Black_eyes"	4	"Black"	"eyes"
"A2"	5.152658	"Black_eyes"	4	"Black"	"eyes"
"P8/T6"	-2.416751	"Black_eyes"	4	"Black"	"eyes"
