"Subject"	"Bin"	"Electrode"	"Condition"	"MeanAmp"	"Race"	"Fix"
1	3	"PZ"	"Black_eyes"	5.253025	"Black"	"eyes"
1	3	"C3"	"Black_eyes"	2.42307965686275	"Black"	"eyes"
1	3	"C4"	"Black_eyes"	5.59036421568627	"Black"	"eyes"
1	3	"CP3"	"Black_eyes"	1.05850392156863	"Black"	"eyes"
1	3	"CP4"	"Black_eyes"	6.26504338235294	"Black"	"eyes"
1	4	"CZ"	"Black_eyes"	2.43500980392157	"Black"	"eyes"
1	4	"CPZ"	"Black_eyes"	5.24109338235294	"Black"	"eyes"
1	4	"PZ"	"Black_eyes"	6.0651056372549	"Black"	"eyes"
1	4	"C3"	"Black_eyes"	4.19246642156863	"Black"	"eyes"
1	4	"C4"	"Black_eyes"	5.79564754901961	"Black"	"eyes"
1	4	"CP3"	"Black_eyes"	6.53696691176471	"Black"	"eyes"
1	4	"CP4"	"Black_eyes"	7.57984019607843	"Black"	"eyes"
1	5	"CZ"	"Black_eyes"	-1.07084607843137	"Black"	"eyes"
1	5	"CPZ"	"Black_eyes"	-0.589521078431373	"Black"	"eyes"
1	5	"PZ"	"Black_eyes"	-1.78172303921569	"Black"	"eyes"
1	5	"C3"	"Black_eyes"	-1.84096568627451	"Black"	"eyes"
1	5	"C4"	"Black_eyes"	2.02609068627451	"Black"	"eyes"
1	5	"CP3"	"Black_eyes"	-0.797273284313725	"Black"	"eyes"
1	5	"CP4"	"Black_eyes"	2.07463308823529	"Black"	"eyes"
1	6	"CZ"	"Black_eyes"	11.1996495098039	"Black"	"eyes"
1	6	"CPZ"	"Black_eyes"	14.215543627451	"Black"	"eyes"
1	6	"PZ"	"Black_eyes"	13.3442196078431	"Black"	"eyes"
1	6	"C3"	"Black_eyes"	11.8903732843137	"Black"	"eyes"
1	6	"C4"	"Black_eyes"	12.4362845588235	"Black"	"eyes"
1	6	"CP3"	"Black_eyes"	16.1062889705882	"Black"	"eyes"
1	6	"CP4"	"Black_eyes"	14.4483904411765	"Black"	"eyes"
1	7	"CZ"	"Black_eyes"	8.54496053921569	"Black"	"eyes"
1	7	"CPZ"	"Black_eyes"	9.91735294117647	"Black"	"eyes"
1	7	"PZ"	"Black_eyes"	10.0535220588235	"Black"	"eyes"
1	7	"C3"	"Black_eyes"	10.8211730392157	"Black"	"eyes"
