"Race"	"Fix"	"rescaleTrial"	"MeanAmp"	"plo"	"phi"	"Condition"
"White"	"forehead"	182	18.9370092488753	14.0433835790457	23.8306349187049	"White, forehead"
"Black"	"eyes"	183	32.3067523745746	27.3495125488706	37.2639922002786	"Black, eyes"
"White"	"eyes"	183	19.5550796047937	14.6480510399752	24.4621081696122	"White, eyes"
"Black"	"forehead"	183	19.4347716873283	14.5057206652316	24.3638227094251	"Black, forehead"
"White"	"forehead"	183	19.03995126781	14.1191591052666	23.9607434303534	"White, forehead"
"Black"	"eyes"	184	32.4784407909526	27.4939002306176	37.4629813512877	"Black, eyes"
"White"	"eyes"	184	19.6596176943032	14.7255126261519	24.5937227624546	"White, eyes"
"Black"	"forehead"	184	19.5363707507089	14.5800655635027	24.4926759379151	"Black, forehead"
"White"	"forehead"	184	19.1428932867447	14.1949320882256	24.0908544852638	"White, forehead"
"Black"	"eyes"	185	32.6501292073307	27.6382849891788	37.6619734254825	"Black, eyes"
"White"	"eyes"	185	19.7641557838128	14.8029715873437	24.7253399802818	"White, eyes"
"Black"	"forehead"	185	19.6379698140895	14.6544081395247	24.6215314886544	"Black, forehead"
"White"	"forehead"	185	19.2458353056794	14.2707025695888	24.2209680417701	"White, forehead"
"Black"	"eyes"	186	32.8218176237087	27.7826668720703	37.860968375347	"Black, eyes"
"White"	"eyes"	186	19.8686938733223	14.8804279663005	24.8569597803441	"White, eyes"
"Black"	"forehead"	186	19.7395688774701	14.7287484311933	24.750389323747	"Black, forehead"
"White"	"forehead"	186	19.3487773246141	14.3464705901206	24.3510840591076	"White, forehead"
"Black"	"eyes"	187	32.9935060400867	27.9270459257889	38.0599661543845	"Black, eyes"
"White"	"eyes"	187	19.9732319628318	14.9578818048525	24.9885821208112	"White, eyes"
"Black"	"forehead"	187	19.8411679408507	14.8030864755873	24.8792494061141	"Black, forehead"
"White"	"forehead"	187	19.4517193435488	14.4222361897083	24.4812024973894	"White, forehead"
"Black"	"eyes"	188	33.1651944564647	28.0714221958389	38.2589667170905	"Black, eyes"
"White"	"eyes"	188	20.0777700523414	15.0353331439354	25.1202069607474	"White, eyes"
"Black"	"forehead"	188	19.9427670042313	14.8774223089904	25.0081116994723	"Black, forehead"
"White"	"forehead"	188	19.5546613624835	14.497999407385	24.611323317582	"White, forehead"
"Black"	"eyes"	189	33.3368828728428	28.2157957267585	38.457970018927	"Black, eyes"
"White"	"eyes"	189	20.1823081418509	15.1127820236134	25.2518342600884	"White, eyes"
"Black"	"forehead"	189	20.0443660676119	14.951755966912	25.1369761683119	"Black, forehead"
