"Source.File"	"Sweep.Number"	"Electrode"	"Marker"	"Latency"	"Peak"	"Subject"	"faceRace"	"FixArea"	"Hemisphere"
"Sub8_White_fore.avg"	1	"P7/T5"	"N170"	163	-4.946866	8	"White"	"fore"	"left"
"Sub9_Black_eyes.avg"	1	"P8/T6"	"N170"	167	-9.809993	9	"Black"	"eyes"	"right"
"Sub9_Black_eyes.avg"	1	"TP7"	"N170"	172	-5.265221	9	"Black"	"eyes"	"left"
"Sub9_Black_eyes.avg"	1	"TP8"	"N170"	167	-6.465971	9	"Black"	"eyes"	"right"
"Sub9_Black_eyes.avg"	1	"P7/T5"	"N170"	167	-7.132193	9	"Black"	"eyes"	"left"
"Sub9_Black_fore.avg"	1	"P8/T6"	"N170"	172	-5.345048	9	"Black"	"fore"	"right"
"Sub9_Black_fore.avg"	1	"TP7"	"N170"	178	-3.40613	9	"Black"	"fore"	"left"
"Sub9_Black_fore.avg"	1	"TP8"	"N170"	173	-2.433777	9	"Black"	"fore"	"right"
"Sub9_Black_fore.avg"	1	"P7/T5"	"N170"	174	-4.650511	9	"Black"	"fore"	"left"
"Sub9_White_eyes.avg"	1	"P8/T6"	"N170"	160	-7.614645	9	"White"	"eyes"	"right"
"Sub9_White_eyes.avg"	1	"TP7"	"N170"	166	-4.330444	9	"White"	"eyes"	"left"
"Sub9_White_eyes.avg"	1	"TP8"	"N170"	157	-4.397583	9	"White"	"eyes"	"right"
"Sub9_White_eyes.avg"	1	"P7/T5"	"N170"	162	-4.887136	9	"White"	"eyes"	"left"
"Sub9_White_fore.avg"	1	"P8/T6"	"N170"	168	-5.413722	9	"White"	"fore"	"right"
"Sub9_White_fore.avg"	1	"TP7"	"N170"	172	-3.143795	9	"White"	"fore"	"left"
"Sub9_White_fore.avg"	1	"TP8"	"N170"	168	-2.36051	9	"White"	"fore"	"right"
"Sub9_White_fore.avg"	1	"P7/T5"	"N170"	172	-4.446605	9	"White"	"fore"	"left"
"Sub10_Black_eyes.avg"	1	"P8/T6"	"N170"	154	-6.889413	10	"Black"	"eyes"	"right"
"Sub10_Black_eyes.avg"	1	"TP7"	"N170"	173	-0.769939	10	"Black"	"eyes"	"left"
"Sub10_Black_eyes.avg"	1	"TP8"	"N170"	154	-4.618093	10	"Black"	"eyes"	"right"
"Sub10_Black_eyes.avg"	1	"P7/T5"	"N170"	169	-2.063436	10	"Black"	"eyes"	"left"
"Sub10_Black_fore.avg"	1	"P8/T6"	"N170"	161	-2.831636	10	"Black"	"fore"	"right"
"Sub10_Black_fore.avg"	1	"TP7"	"N170"	212	0.362114	10	"Black"	"fore"	"left"
"Sub10_Black_fore.avg"	1	"TP8"	"N170"	158	-0.797272	10	"Black"	"fore"	"right"
"Sub10_Black_fore.avg"	1	"P7/T5"	"N170"	164	-1.401831	10	"Black"	"fore"	"left"
"Sub10_White_eyes.avg"	1	"P8/T6"	"N170"	157	-6.506136	10	"White"	"eyes"	"right"
"Sub10_White_eyes.avg"	1	"TP7"	"N170"	184	-1.723337	10	"White"	"eyes"	"left"
"Sub10_White_eyes.avg"	1	"TP8"	"N170"	153	-3.350286	10	"White"	"eyes"	"right"
"Sub10_White_eyes.avg"	1	"P7/T5"	"N170"	168	-3.494867	10	"White"	"eyes"	"left"
"Sub10_White_fore.avg"	1	"P8/T6"	"N170"	167	-3.460693	10	"White"	"fore"	"right"
"Sub10_White_fore.avg"	1	"TP7"	"N170"	169	-0.041199	10	"White"	"fore"	"left"
"Sub10_White_fore.avg"	1	"TP8"	"N170"	168	-2.130127	10	"White"	"fore"	"right"
"Sub10_White_fore.avg"	1	"P7/T5"	"N170"	169	-1.725769	10	"White"	"fore"	"left"
"Sub11_Black_eyes.avg"	1	"P8/T6"	"N170"	164	-3.013092	11	"Black"	"eyes"	"right"
"Sub11_Black_eyes.avg"	1	"TP7"	"N170"	167	-1.336255	11	"Black"	"eyes"	"left"
"Sub11_Black_eyes.avg"	1	"TP8"	"N170"	164	-2.511182	11	"Black"	"eyes"	"right"
"Sub11_Black_eyes.avg"	1	"P7/T5"	"N170"	168	-0.679535	11	"Black"	"eyes"	"left"
"Sub11_Black_fore.avg"	1	"P8/T6"	"N170"	166	-4.000618	11	"Black"	"fore"	"right"
"Sub11_Black_fore.avg"	1	"TP7"	"N170"	172	-2.32541	11	"Black"	"fore"	"left"
"Sub11_Black_fore.avg"	1	"TP8"	"N170"	158	-3.638851	11	"Black"	"fore"	"right"
"Sub11_Black_fore.avg"	1	"P7/T5"	"N170"	173	-2.837098	11	"Black"	"fore"	"left"
"Sub11_White_eyes.avg"	1	"P8/T6"	"N170"	166	-3.749695	11	"White"	"eyes"	"right"
"Sub11_White_eyes.avg"	1	"TP7"	"N170"	168	-3.637238	11	"White"	"eyes"	"left"
"Sub11_White_eyes.avg"	1	"TP8"	"N170"	167	-3.610382	11	"White"	"eyes"	"right"
"Sub11_White_eyes.avg"	1	"P7/T5"	"N170"	169	-4.063568	11	"White"	"eyes"	"left"
"Sub11_White_fore.avg"	1	"P8/T6"	"N170"	168	-3.326848	11	"White"	"fore"	"right"
"Sub11_White_fore.avg"	1	"TP7"	"N170"	170	-2.300766	11	"White"	"fore"	"left"
