"Electrode"	"AvgAmp"	"Condition"	"Subject"	"faceRace"	"FixArea"
"CP4"	2.019041	"Black_eyes"	55	"Black"	"eyes"
"P3"	1.208138	"Black_eyes"	55	"Black"	"eyes"
"PZ"	0.928304	"Black_eyes"	55	"Black"	"eyes"
"P4"	2.190967	"Black_eyes"	55	"Black"	"eyes"
"Oz"	1.089097	"Black_eyes"	55	"Black"	"eyes"
"FP1"	1.567776	"Black_eyes"	55	"Black"	"eyes"
"FP2"	2.25514	"Black_eyes"	55	"Black"	"eyes"
"A2"	-2.16401	"Black_eyes"	55	"Black"	"eyes"
"P8/T6"	2.789946	"Black_eyes"	55	"Black"	"eyes"
"TP7"	1.037927	"Black_eyes"	55	"Black"	"eyes"
"TP8"	3.333103	"Black_eyes"	55	"Black"	"eyes"
"P7/T5"	1.999747	"Black_eyes"	55	"Black"	"eyes"
"VEOG"	2.171941	"Black_eyes"	55	"Black"	"eyes"
"HEOG"	2.605246	"Black_eyes"	55	"Black"	"eyes"
"Nose"	1.295836	"Black_eyes"	55	"Black"	"eyes"
"FZ"	1.71816	"Black_fore"	55	"Black"	"fore"
"FC3"	1.090431	"Black_fore"	55	"Black"	"fore"
"FCZ"	1.756328	"Black_fore"	55	"Black"	"fore"
"FC4"	2.453261	"Black_fore"	55	"Black"	"fore"
"C3"	1.224381	"Black_fore"	55	"Black"	"fore"
"CZ"	1.92814	"Black_fore"	55	"Black"	"fore"
"C4"	2.574513	"Black_fore"	55	"Black"	"fore"
"CP3"	1.263807	"Black_fore"	55	"Black"	"fore"
"CPZ"	1.685483	"Black_fore"	55	"Black"	"fore"
"CP4"	2.462031	"Black_fore"	55	"Black"	"fore"
"P3"	1.413199	"Black_fore"	55	"Black"	"fore"
"PZ"	1.208633	"Black_fore"	55	"Black"	"fore"
"P4"	2.046647	"Black_fore"	55	"Black"	"fore"
"Oz"	0.542394	"Black_fore"	55	"Black"	"fore"
"FP1"	1.56179	"Black_fore"	55	"Black"	"fore"
"FP2"	2.210833	"Black_fore"	55	"Black"	"fore"
"A2"	-1.072015	"Black_fore"	55	"Black"	"fore"
"P8/T6"	2.307034	"Black_fore"	55	"Black"	"fore"
"TP7"	1.282376	"Black_fore"	55	"Black"	"fore"
"TP8"	2.583664	"Black_fore"	55	"Black"	"fore"
"P7/T5"	2.796657	"Black_fore"	55	"Black"	"fore"
"VEOG"	-3.008581	"Black_fore"	55	"Black"	"fore"
"HEOG"	0.551011	"Black_fore"	55	"Black"	"fore"
