"FZ"	"FC3"	"FCZ"	"FC4"	"C3"	"CZ"	"C4"	"CP3"	"CPZ"	"CP4"	"P3"	"PZ"	"P4"	"OZ"	"FP1"	"FP2"	"A2"	"P8"	"TP7"	"TP8"	"P7"	"VEOG"	"HEOG"
0.7673	0.1289	0.5545	-0.2518	-0.5545	-0.4616	-0.9591	-1.1989	-2.0052	-2.0082	-1.9362	-2.5507	-2.4068	-0.2787	0.6174	0.5935	0.5305	-1.5496	-0.1828	-1.4087	-1.0041	-0.9561	-0.1828
0.7074	0.021	0.4376	-0.3387	-0.7163	-0.6384	-1.04	-1.3877	-2.233	-2.1341	-2.1161	-2.7785	-2.5836	-0.3627	0.5155	0.5125	0.6954	-1.7024	-0.3537	-1.5496	-1.142	-1.0221	-0.1109
0.6354	-0.0989	0.3477	-0.4016	-0.8542	-0.7913	-1.124	-1.5436	-2.4338	-2.2509	-2.2629	-2.9673	-2.7245	-0.4346	0.4376	0.4945	0.8392	-1.8313	-0.5035	-1.6395	-1.2469	-1.07	-0.0629
0.5515	-0.2248	0.2338	-0.4616	-1.0041	-0.9381	-1.1689	-1.7234	-2.6196	-2.3618	-2.4218	-3.1441	-2.8654	-0.5155	0.3357	0.4556	1.0071	-1.9662	-0.6864	-1.7564	-1.3817	-1.109	-0.006
0.4526	-0.3717	0.0929	-0.5545	-1.2079	-1.148	-1.2559	-1.9452	-2.8384	-2.4937	-2.6046	-3.3659	-3.0242	-0.6054	0.2368	0.4286	1.1809	-2.1101	-0.8542	-1.8733	-1.5136	-1.139	0.03
0.3417	-0.4856	-0.027	-0.6204	-1.3518	-1.2948	-1.3218	-2.1311	-3.0272	-2.6076	-2.7575	-3.5338	-3.1561	-0.6864	0.1109	0.3747	1.3278	-2.2479	-1.061	-1.9842	-1.6215	-1.142	0.0659
0.2548	-0.6054	-0.1469	-0.6714	-1.5136	-1.4537	-1.3727	-2.2869	-3.1861	-2.6676	-2.8924	-3.6507	-3.243	-0.7343	0.012	0.3687	1.4477	-2.3199	-1.2109	-2.0771	-1.6994	-1.1779	0.0989
0.1738	-0.6744	-0.2278	-0.7044	-1.6185	-1.5646	-1.3757	-2.3828	-3.306	-2.7065	-2.9613	-3.7406	-3.309	-0.7733	-0.0629	0.3417	1.5106	-2.3978	-1.3398	-2.1221	-1.7294	-1.1899	0.1319
0.0959	-0.7223	-0.3267	-0.7104	-1.7174	-1.6815	-1.3967	-2.4877	-3.3899	-2.7425	-3.0003	-3.7945	-3.3599	-0.7883	-0.1259	0.3387	1.5556	-2.4338	-1.4267	-2.182	-1.7354	-1.2229	0.1559
0.036	-0.7793	-0.3896	-0.7104	-1.8133	-1.7324	-1.3967	-2.5956	-3.4558	-2.7545	-3.0452	-3.8275	-3.3779	-0.7943	-0.2038	0.3477	1.5496	-2.4757	-1.5046	-2.191	-1.7324	-1.2469	0.1918
