"FZ"	"FC3"	"FCZ"	"FC4"	"C3"	"CZ"	"C4"	"CP3"	"CPZ"	"CP4"	"P3"	"PZ"	"P4"	"OZ"	"FP1"	"FP2"	"A2"	"P8"	"TP7"	"TP8"	"P7"
-1.2405	-1.2746	-1.466	-0.9913	-1.0595	-1.2641	-0.8287	-0.8759	-1.0228	-0.514	-0.9441	-0.7265	-0.3462	0.1967	-0.4694	-0.5481	-0.3855	0.2832	-1.0438	0.3252	-1.0254
-1.3113	-1.2903	-1.5054	-1.0281	-0.9992	-1.2798	-0.8655	-0.8419	-1.0543	-0.5271	-0.8969	-0.7212	-0.3619	0.2019	-0.6688	-0.6216	-0.3934	0.2859	-1.0674	0.3881	-1.0333
-1.3638	-1.2825	-1.4975	-1.0123	-0.9336	-1.2903	-0.8707	-0.7632	-1.0622	-0.5298	-0.8471	-0.6924	-0.3436	0.2177	-0.8209	-0.6766	-0.4144	0.2544	-1.0753	0.4091	-0.994
-1.3978	-1.2903	-1.5185	-1.0149	-0.9074	-1.2825	-0.8681	-0.7186	-1.0569	-0.5245	-0.813	-0.6766	-0.3462	0.2177	-0.9756	-0.7291	-0.4196	0.2465	-1.0805	0.4301	-0.9677
-1.4372	-1.2772	-1.5447	-1.0123	-0.8602	-1.3034	-0.8628	-0.6504	-1.0464	-0.5507	-0.7606	-0.6661	-0.3541	0.2124	-1.1356	-0.7815	-0.4222	0.2308	-1.0962	0.4406	-0.9389
-1.4451	-1.2484	-1.5211	-0.9782	-0.7999	-1.2562	-0.8602	-0.5717	-1.0386	-0.5534	-0.7186	-0.6425	-0.3724	0.2229	-1.2982	-0.8366	-0.4196	0.1862	-1.0254	0.4249	-0.9048
-1.4949	-1.2379	-1.5264	-0.9625	-0.7606	-1.2641	-0.8471	-0.514	-1.0228	-0.5665	-0.6819	-0.6452	-0.3986	0.1993	-1.4293	-0.8969	-0.4117	0.1259	-0.994	0.4013	-0.855
-1.4529	-1.2064	-1.4398	-0.9022	-0.6819	-1.209	-0.8156	-0.4616	-0.9809	-0.5586	-0.6452	-0.6216	-0.4091	0.2072	-1.5368	-0.9546	-0.4039	0.0629	-0.9494	0.3724	-0.8051
-1.4241	-1.1566	-1.4136	-0.8655	-0.6399	-1.1566	-0.7763	-0.3986	-0.9336	-0.5717	-0.5822	-0.5927	-0.4117	0.1967	-1.5919	-0.9992	-0.4039	0.0105	-0.8707	0.3173	-0.7396
-1.3769	-1.0989	-1.3061	-0.771	-0.5612	-1.091	-0.7107	-0.3331	-0.91	-0.535	-0.5219	-0.535	-0.3908	0.1967	-1.605	-1.0018	-0.4013	-0.0315	-0.792	0.2885	-0.6793
-1.2851	-1.049	-1.2484	-0.695	-0.5062	-1.0018	-0.6819	-0.2701	-0.8287	-0.5245	-0.4485	-0.5009	-0.3908	0.2019	-1.6077	-0.9835	-0.4013	-0.0892	-0.7317	0.2623	-0.6084
-1.1985	-1.0071	-1.1408	-0.6163	-0.4563	-0.9022	-0.6058	-0.2019	-0.7606	-0.4826	-0.4065	-0.438	-0.3672	0.2203	-1.5395	-0.9258	-0.4275	-0.118	-0.653	0.2255	-0.5507
-1.1172	-0.9651	-1.0123	-0.5088	-0.396	-0.8078	-0.5324	-0.1547	-0.6609	-0.4406	-0.3357	-0.3698	-0.3357	0.2334	-1.4555	-0.8759	-0.4485	-0.1705	-0.5691	0.1783	-0.4826
-0.9966	-0.8838	-0.8969	-0.4196	-0.3409	-0.695	-0.4432	-0.1049	-0.5822	-0.4065	-0.3042	-0.3357	-0.3226	0.2413	-1.3506	-0.7842	-0.4747	-0.2282	-0.4721	0.1626	-0.4432
