"FZ"	"FC3"	"FCZ"	"FC4"	"C3"	"CZ"	"C4"	"CP3"	"CPZ"	"CP4"	"P3"	"PZ"	"P4"	"OZ"	"FP1"	"FP2"	"A2"	"P8"	"TP7"	"TP8"	"P7"
0.0959	0.4822	0.1172	-0.1199	0.4263	0.2451	0.0213	0.3517	0.3224	0.0986	0.2744	0.2638	0.1279	-0.1305	0.1838	0.0613	0.2638	-0.2051	0.1119	-0.3437	0.2824
0.0027	0.4076	0.032	-0.1572	0.405	0.2211	0.008	0.373	0.3064	0.1172	0.3037	0.2904	0.1305	-0.1252	0.1305	0.0426	0.2451	-0.2185	0.1439	-0.3224	0.333
-0.0613	0.3437	-0.016	-0.1758	0.3916	0.1892	0.0027	0.365	0.3011	0.1146	0.3224	0.3144	0.1385	-0.0906	0.0986	0.0346	0.2158	-0.1998	0.1972	-0.325	0.3757
-0.1385	0.2771	-0.0986	-0.2131	0.3677	0.1785	-0.0213	0.3677	0.2851	0.1279	0.3384	0.349	0.1412	-0.0826	0.0373	-0.0133	0.1812	-0.2158	0.2158	-0.3064	0.4103
-0.2051	0.2185	-0.1625	-0.2638	0.3464	0.1332	-0.0027	0.3703	0.2558	0.1332	0.3517	0.3597	0.1332	-0.0533	-0.032	-0.0453	0.1492	-0.1972	0.2318	-0.3144	0.4476
-0.2691	0.1599	-0.2211	-0.2744	0.3011	0.0932	-0.016	0.3863	0.2345	0.1279	0.3757	0.357	0.1545	-0.0346	-0.0639	-0.0746	0.1012	-0.2025	0.2824	-0.2744	0.4742
-0.3197	0.0959	-0.2904	-0.3224	0.2797	0.0586	-0.0346	0.3677	0.2025	0.1226	0.381	0.3597	0.1545	-0.016	-0.0693	-0.0986	0.0719	-0.1945	0.2744	-0.2851	0.4769
-0.389	0.032	-0.357	-0.3597	0.2345	0.0053	-0.0346	0.325	0.1918	0.1359	0.3783	0.3543	0.1385	-0.0027	-0.1119	-0.1252	0.0266	-0.1865	0.3144	-0.2664	0.5249
-0.4156	-0.0133	-0.389	-0.349	0.2211	-0.016	-0.0373	0.3277	0.1678	0.1465	0.3996	0.365	0.1678	0.0293	-0.1146	-0.0853	-0.0426	-0.1519	0.3357	-0.2291	0.5462
-0.4582	-0.0639	-0.4316	-0.3543	0.1892	-0.0533	-0.0373	0.3224	0.1519	0.1439	0.3996	0.3677	0.1892	0.0613	-0.1465	-0.1119	-0.0959	-0.1252	0.349	-0.2211	0.5302
-0.4716	-0.1119	-0.4929	-0.3357	0.1439	-0.0879	-0.0426	0.2877	0.1226	0.1732	0.4183	0.3677	0.1599	0.0693	-0.1545	-0.0959	-0.1359	-0.1146	0.357	-0.1812	0.5195
-0.5035	-0.1572	-0.5115	-0.3277	0.1226	-0.1146	-0.032	0.2984	0.1199	0.1892	0.4076	0.3757	0.1865	0.1172	-0.1279	-0.0346	-0.2078	-0.0799	0.3677	-0.1252	0.5169
-0.5062	-0.2265	-0.5515	-0.3357	0.0879	-0.1465	-0.0373	0.2744	0.0719	0.1838	0.3996	0.3677	0.1785	0.1332	-0.1412	-0.0053	-0.2424	-0.0773	0.365	-0.1279	0.5328
-0.5302	-0.2504	-0.5808	-0.3144	0.048	-0.1625	-0.024	0.2558	0.048	0.1998	0.4103	0.381	0.1892	0.1625	-0.1439	0.0346	-0.2771	-0.048	0.3623	-0.0932	0.5195
-0.5169	-0.2638	-0.5888	-0.2931	0.0293	-0.1998	-0.0186	0.2371	0.0186	0.2105	0.3836	0.3464	0.1945	0.1625	-0.1172	0.0906	-0.2931	-0.024	0.3757	-0.0986	0.5089
-0.5222	-0.2957	-0.6021	-0.2877	0.032	-0.2025	-0.0186	0.2291	0.008	0.2105	0.4023	0.3464	0.2158	0.1785	-0.1092	0.1492	-0.3224	0.0133	0.3757	-0.0666	0.5035
-0.5249	-0.3144	-0.6234	-0.2558	-0.0107	-0.2238	-0.0107	0.1998	-0.0426	0.2078	0.3916	0.3117	0.2051	0.1785	-0.0959	0.1758	-0.317	0.032	0.357	-0.0533	0.4822
-0.5195	-0.333	-0.6447	-0.2478	-0.032	-0.2638	-0.0373	0.1732	-0.0613	0.1892	0.381	0.2744	0.2131	0.1732	-0.1146	0.1812	-0.3091	0.024	0.365	-0.0613	0.4796
-0.5275	-0.357	-0.6794	-0.2424	-0.0826	-0.3037	-0.0719	0.1439	-0.1012	0.1678	0.357	0.2584	0.1865	0.1758	-0.1039	0.1972	-0.3224	0.0586	0.3464	-0.0346	0.4822
-0.5009	-0.3943	-0.6874	-0.2318	-0.1039	-0.341	-0.0639	0.1119	-0.1412	0.1892	0.3304	0.2558	0.1998	0.1625	-0.1199	0.2078	-0.2984	0.0853	0.3091	-0.024	0.4556
-0.5275	-0.405	-0.7247	-0.2371	-0.1252	-0.3677	-0.0639	0.1066	-0.1892	0.1519	0.317	0.2105	0.1732	0.1519	-0.1439	0.1892	-0.2824	0.0746	0.3277	-0.008	0.4263
-0.5355	-0.4209	-0.7114	-0.2211	-0.1652	-0.405	-0.0799	0.0559	-0.2211	0.1305	0.2877	0.1892	0.1625	0.1439	-0.1492	0.1812	-0.2504	0.0853	0.2877	-0.0027	0.3996
-0.5488	-0.4503	-0.7486	-0.2424	-0.2105	-0.4689	-0.1119	0.0133	-0.2531	0.0879	0.2504	0.1385	0.1332	0.1172	-0.1865	0.1279	-0.2078	0.1119	0.2664	-0.008	0.3597
-0.5648	-0.4876	-0.7886	-0.2478	-0.2664	-0.5169	-0.1678	-0.032	-0.3144	0.0506	0.1998	0.1066	0.1039	0.0906	-0.1865	0.0826	-0.1412	0.1012	0.2451	-0.0186	0.3197
-0.5808	-0.5169	-0.8073	-0.2771	-0.3037	-0.5595	-0.1785	-0.0639	-0.3464	0.016	0.1705	0.0666	0.0799	0.0453	-0.2211	0.0613	-0.0746	0.1226	0.2105	-0.0266	0.2851
-0.5995	-0.5515	-0.8206	-0.3064	-0.3464	-0.6074	-0.2211	-0.1332	-0.4156	-0.024	0.1092	0.0027	0.024	0.0053	-0.2185	-0.0027	0.0186	0.0959	0.1758	-0.0533	0.1945
-0.6048	-0.5755	-0.8552	-0.3464	-0.397	-0.6501	-0.2584	-0.1652	-0.4662	-0.0826	0.0506	-0.0186	-0.0027	-0.0373	-0.2531	-0.04	0.1146	0.0826	0.1652	-0.0826	0.1385
-0.6074	-0.6021	-0.8712	-0.3757	-0.413	-0.682	-0.3064	-0.1998	-0.5115	-0.1279	0.0053	-0.0693	-0.032	-0.0906	-0.2371	-0.0613	0.2078	0.0719	0.0932	-0.1066	0.0799
-0.6261	-0.6288	-0.8845	-0.4103	-0.4609	-0.722	-0.3464	-0.2318	-0.5542	-0.1705	-0.0613	-0.0986	-0.0666	-0.1305	-0.2424	-0.1226	0.2931	0.0426	0.0613	-0.1359	0.016
-0.6288	-0.6767	-0.9138	-0.4369	-0.5142	-0.7726	-0.3943	-0.2771	-0.5888	-0.2345	-0.0986	-0.1519	-0.0959	-0.1785	-0.2478	-0.1545	0.3863	0.0213	0.0453	-0.1599	-0.0533
-0.6447	-0.6874	-0.9165	-0.4636	-0.5595	-0.7913	-0.4556	-0.3197	-0.6208	-0.2584	-0.1492	-0.1785	-0.1252	-0.2185	-0.2105	-0.1892	0.4529	-0.0133	-0.008	-0.1972	-0.1119
-0.6474	-0.722	-0.9378	-0.5009	-0.5915	-0.8366	-0.4716	-0.341	-0.6474	-0.2824	-0.2211	-0.2504	-0.1678	-0.2398	-0.2078	-0.2318	0.5169	-0.0373	-0.0506	-0.2345	-0.1892
-0.6421	-0.7486	-0.9351	-0.5089	-0.5915	-0.8259	-0.5142	-0.381	-0.6368	-0.317	-0.2611	-0.2584	-0.1892	-0.2638	-0.1972	-0.2478	0.5515	-0.032	-0.1092	-0.2531	-0.2558
-0.6234	-0.7513	-0.9218	-0.5195	-0.6074	-0.8179	-0.5009	-0.3836	-0.6527	-0.317	-0.3064	-0.2664	-0.1892	-0.2718	-0.1785	-0.2611	0.5861	-0.0453	-0.1599	-0.2718	-0.3224
-0.6128	-0.7566	-0.9245	-0.5195	-0.6341	-0.8073	-0.5142	-0.397	-0.6607	-0.3304	-0.341	-0.2984	-0.1918	-0.2877	-0.1465	-0.3037	0.6074	-0.0666	-0.1998	-0.2904	-0.3996
-0.5968	-0.738	-0.8792	-0.5275	-0.6234	-0.7806	-0.5249	-0.4209	-0.6447	-0.333	-0.3916	-0.3144	-0.1972	-0.2824	-0.1279	-0.2824	0.6074	-0.048	-0.2504	-0.3011	-0.4636
-0.5701	-0.7327	-0.8632	-0.5222	-0.6421	-0.7806	-0.5328	-0.4529	-0.6554	-0.3464	-0.413	-0.3277	-0.1972	-0.2851	-0.1199	-0.3064	0.6154	-0.0879	-0.3091	-0.3064	-0.5542
-0.5435	-0.7114	-0.8126	-0.5089	-0.6501	-0.7513	-0.5249	-0.4423	-0.6447	-0.341	-0.4449	-0.3597	-0.2051	-0.2877	-0.0746	-0.2851	0.6048	-0.0879	-0.3597	-0.3091	-0.6074
-0.5062	-0.6741	-0.7806	-0.4716	-0.5995	-0.7034	-0.4769	-0.4503	-0.5995	-0.3117	-0.4796	-0.333	-0.1785	-0.2771	-0.032	-0.2664	0.5835	-0.0773	-0.4103	-0.2931	-0.6581
-0.4503	-0.6447	-0.73	-0.4449	-0.6154	-0.6527	-0.4662	-0.4503	-0.5675	-0.2904	-0.5035	-0.365	-0.2025	-0.2744	-0.0027	-0.2531	0.5675	-0.0826	-0.4503	-0.3224	-0.7353
-0.3916	-0.5808	-0.6474	-0.4236	-0.5755	-0.5861	-0.4369	-0.4289	-0.5408	-0.2478	-0.5169	-0.357	-0.1758	-0.2584	0.0453	-0.2211	0.5435	-0.0906	-0.4636	-0.3037	-0.7833
-0.3464	-0.5115	-0.5675	-0.3703	-0.5142	-0.5382	-0.4289	-0.4023	-0.4876	-0.2185	-0.5382	-0.317	-0.1838	-0.2345	0.0906	-0.1785	0.5142	-0.1066	-0.5035	-0.2957	-0.8232
-0.2877	-0.4423	-0.5009	-0.3464	-0.4902	-0.4609	-0.3757	-0.3757	-0.4582	-0.1972	-0.5515	-0.317	-0.1519	-0.2451	0.1146	-0.1625	0.4982	-0.1199	-0.5062	-0.3357	-0.8605
-0.2105	-0.3464	-0.3916	-0.2691	-0.4289	-0.365	-0.3144	-0.3304	-0.4209	-0.1572	-0.5515	-0.3064	-0.1412	-0.2265	0.1465	-0.1092	0.4662	-0.1385	-0.5115	-0.3011	-0.8659
-0.1465	-0.2451	-0.3224	-0.2345	-0.365	-0.2691	-0.2877	-0.2957	-0.3437	-0.1012	-0.5542	-0.2718	-0.1226	-0.2238	0.1998	-0.0799	0.4609	-0.1812	-0.5355	-0.3037	-0.8765
-0.0719	-0.1519	-0.2211	-0.1945	-0.3064	-0.1998	-0.2371	-0.2584	-0.2771	-0.0693	-0.5462	-0.2291	-0.1119	-0.2051	0.2664	-0.0266	0.4316	-0.1758	-0.5115	-0.2931	-0.8845
0.0027	-0.0773	-0.1492	-0.1332	-0.2531	-0.0986	-0.1972	-0.2211	-0.2291	-0.04	-0.5328	-0.2211	-0.1039	-0.2025	0.3144	0.0266	0.4156	-0.2211	-0.4876	-0.3117	-0.8819
