"FZ"	"FC3"	"FCZ"	"FC4"	"C3"	"CZ"	"C4"	"CP3"	"CPZ"	"CP4"	"P3"	"PZ"	"P4"	"OZ"	"FP1"	"FP2"	"A2"	"P8"	"TP7"	"TP8"	"P7"	"VEOG"	"HEOG"
-2.0739	-1.5049	-1.98	-1.761	-0.8421	-1.6273	-0.9644	-0.3727	-1.5135	-0.2589	-0.2361	-1.081	-0.1792	0.3129	-0.4239	-0.899	-0.6259	0.1678	-0.4495	0.2418	-0.0967	1.1948	-0.33
-2.0455	-1.4793	-1.926	-1.6842	-0.8136	-1.5874	-0.8848	-0.3869	-1.5163	-0.2646	-0.2731	-1.1266	-0.1821	0.3215	-0.5405	-0.8364	-0.6316	0.1735	-0.3585	0.2589	-0.0967	1.3001	-0.2959
-1.9942	-1.448	-1.8492	-1.6159	-0.7823	-1.5277	-0.8136	-0.3755	-1.4907	-0.2333	-0.2902	-1.1436	-0.2162	0.3243	-0.6287	-0.7425	-0.6316	0.1622	-0.2959	0.256	-0.0853	1.3911	-0.2703
-1.9117	-1.3997	-1.7439	-1.522	-0.7112	-1.4679	-0.734	-0.3869	-1.4907	-0.2247	-0.3158	-1.1778	-0.2105	0.3101	-0.6998	-0.6629	-0.6202	0.1479	-0.2077	0.2617	-0.0654	1.4423	-0.2503
-1.7923	-1.3342	-1.6273	-1.3854	-0.6572	-1.3741	-0.6629	-0.3784	-1.4139	-0.1764	-0.3215	-1.1806	-0.2219	0.3101	-0.6998	-0.5491	-0.6287	0.1309	-0.1252	0.2475	-0.0882	1.4509	-0.1935
-1.6642	-1.266	-1.5277	-1.2859	-0.6088	-1.2944	-0.5661	-0.3243	-1.357	-0.1394	-0.3158	-1.1863	-0.2361	0.3158	-0.7254	-0.4068	-0.6401	0.1195	-0.0427	0.256	-0.091	1.4822	-0.1422
-1.5248	-1.1806	-1.3655	-1.1209	-0.5092	-1.1664	-0.4779	-0.3272	-1.3058	-0.1053	-0.3272	-1.1692	-0.2333	0.3385	-0.7311	-0.3414	-0.6629	0.1195	-0.0028	0.2589	-0.091	1.4964	-0.0996
-1.3399	-1.0498	-1.1977	-0.9416	-0.4353	-1.0668	-0.3442	-0.2902	-1.2204	-0.0455	-0.3158	-1.1379	-0.2247	0.3499	-0.6828	-0.2105	-0.6913	0.1309	0.0455	0.2646	-0.0768	1.4765	-0.0541
-1.1778	-0.9673	-1.0298	-0.7994	-0.3784	-0.9445	-0.2532	-0.2873	-1.1379	-0.0398	-0.33	-1.118	-0.2418	0.3385	-0.7112	-0.1195	-0.6941	0.1223	0.0967	0.2589	-0.0882	1.4907	0.0057
-0.9843	-0.8392	-0.862	-0.6031	-0.2788	-0.8136	-0.1536	-0.2475	-1.0725	0.0085	-0.3072	-1.0498	-0.2475	0.3641	-0.6486	0.0057	-0.7283	0.1195	0.1252	0.2703	-0.0541	1.4879	0.0654
-0.8023	-0.7567	-0.6941	-0.4438	-0.2361	-0.7112	-0.0512	-0.2589	-0.9957	0.0512	-0.3272	-1.0469	-0.2447	0.3755	-0.5946	0.0825	-0.7368	0.1166	0.1337	0.3129	-0.091	1.4992	0.1109
-0.6316	-0.6287	-0.5576	-0.2845	-0.1821	-0.5832	0.0512	-0.2503	-0.9075	0.0882	-0.3528	-0.9985	-0.2589	0.3897	-0.495	0.1821	-0.771	0.1109	0.1536	0.3129	-0.0797	1.5106	0.1707
-0.4296	-0.5633	-0.3926	-0.1081	-0.1337	-0.4865	0.1565	-0.2674	-0.8051	0.1223	-0.367	-0.9673	-0.2503	0.3869	-0.421	0.2503	-0.788	0.0996	0.1422	0.3328	-0.1138	1.5078	0.2077
-0.2902	-0.458	-0.256	0.0512	-0.0996	-0.3784	0.2361	-0.2703	-0.7112	0.1479	-0.3841	-0.9104	-0.2674	0.404	-0.3243	0.3471	-0.8165	0.1053	0.1366	0.3385	-0.1337	1.5561	0.2361
-0.1081	-0.3897	-0.1109	0.1849	-0.0825	-0.276	0.3328	-0.2902	-0.6316	0.1935	-0.4267	-0.8791	-0.2731	0.4239	-0.1906	0.4125	-0.8449	0.091	0.0853	0.3556	-0.165	1.5874	0.2703
0.0114	-0.3044	0	0.3101	-0.0683	-0.1878	0.3983	-0.3158	-0.5633	0.2247	-0.4438	-0.8165	-0.2788	0.4239	-0.0967	0.4836	-0.8677	0.0683	0.0768	0.3528	-0.1878	1.6472	0.3215
0.1565	-0.2617	0.1166	0.4296	-0.0569	-0.0797	0.4381	-0.3414	-0.4808	0.2304	-0.495	-0.7795	-0.2987	0.4324	0.0142	0.5604	-0.8762	0.0455	0.0256	0.3869	-0.2162	1.6984	0.3528
