"FZ"	"FC3"	"FCZ"	"FC4"	"C3"	"CZ"	"C4"	"CP3"	"CPZ"	"CP4"	"P3"	"PZ"	"P4"	"OZ"	"FP1"	"FP2"	"A2"	"P8"	"TP7"	"TP8"	"P7"
-0.5383	-0.2141	-0.2807	0.0984	0.0926	0.683	1.0244	0.8537	1.91	2.0171	1.69	3.0097	2.7	0.6193	-0.709	-0.2981	-1.2531	2.2167	-0.4312	1.4701	0.7495
-0.6656	-0.3444	-0.4862	-0.0203	-0.0434	0.4486	0.8769	0.7032	1.6843	1.8666	1.4933	2.7724	2.4859	0.6309	-0.819	-0.3531	-1.2531	2.1039	-0.4341	1.3515	0.6656
-0.7871	-0.4428	-0.6598	-0.1389	-0.1302	0.2402	0.7264	0.5933	1.4701	1.7219	1.3167	2.5032	2.2862	0.6396	-0.9232	-0.3733	-1.2675	1.9794	-0.3936	1.2675	0.6251
-0.9434	-0.5672	-0.8508	-0.2865	-0.2836	0.0232	0.5817	0.4659	1.2502	1.5569	1.1257	2.2023	2.0489	0.628	-1.0447	-0.4457	-1.2531	1.8492	-0.382	1.1807	0.5412
-1.0418	-0.6569	-1.01	-0.3878	-0.3733	-0.1881	0.4254	0.3299	0.981	1.3688	0.9261	1.8984	1.8145	0.6164	-1.117	-0.4804	-1.2328	1.6929	-0.3328	1.1055	0.5238
-1.1605	-0.7669	-1.1836	-0.5209	-0.4775	-0.3994	0.2691	0.1852	0.7235	1.1894	0.7235	1.6061	1.5743	0.599	-1.1778	-0.5354	-1.1894	1.5309	-0.2836	1.0244	0.4688
-1.227	-0.8334	-1.282	-0.6482	-0.5498	-0.573	0.136	0.0897	0.5093	0.9984	0.5441	1.3167	1.3283	0.5759	-1.201	-0.5643	-1.1547	1.3978	-0.2228	0.9492	0.4486
-1.2791	-0.9029	-1.4093	-0.7437	-0.6367	-0.7698	-0.0029	-0.0405	0.2489	0.7987	0.356	1.0129	1.0563	0.5469	-1.1923	-0.5875	-1.0939	1.2125	-0.1592	0.8682	0.4225
-1.3254	-0.9261	-1.4962	-0.8479	-0.683	-0.9347	-0.1158	-0.1158	0.0405	0.6106	0.165	0.6772	0.7929	0.5064	-1.1344	-0.6482	-1.01	1.0476	-0.1013	0.8016	0.3502
-1.3399	-0.955	-1.5627	-0.9174	-0.7379	-1.091	-0.246	-0.2228	-0.191	0.437	-0.0232	0.3762	0.5151	0.4688	-1.0997	-0.6685	-0.9203	0.8826	-0.0203	0.7524	0.3241
-1.3196	-0.9926	-1.6235	-1.0273	-0.7756	-1.2328	-0.3965	-0.3357	-0.4196	0.2228	-0.1939	0.0637	0.2633	0.4023	-1.036	-0.6772	-0.7871	0.6974	0.0174	0.6569	0.2923
-1.3109	-1.01	-1.6582	-1.1344	-0.8277	-1.3833	-0.5122	-0.4428	-0.6482	0.0347	-0.3733	-0.2431	-0.0029	0.3241	-0.9666	-0.7061	-0.6424	0.5093	0.0463	0.5875	0.2489
-1.2646	-1.01	-1.6958	-1.1952	-0.8537	-1.5048	-0.6453	-0.5412	-0.8682	-0.1939	-0.5585	-0.5585	-0.3068	0.2373	-0.8711	-0.7032	-0.4659	0.3039	0.0868	0.4833	0.2228
-1.1865	-0.9984	-1.6495	-1.2675	-0.8682	-1.6003	-0.7351	-0.6106	-1.0621	-0.3733	-0.6859	-0.8537	-0.5556	0.1476	-0.7842	-0.6859	-0.2981	0.1071	0.1215	0.4167	0.1997
-1.1113	-0.9608	-1.6437	-1.3023	-0.9116	-1.6814	-0.8566	-0.7206	-1.2907	-0.5759	-0.8884	-1.1605	-0.8508	0.0492	-0.6859	-0.6569	-0.081	-0.1042	0.1389	0.3154	0.1302
-1.0273	-0.955	-1.6177	-1.3804	-0.9058	-1.7913	-0.9695	-0.7756	-1.4817	-0.764	-1.0563	-1.4527	-1.1228	-0.0637	-0.6019	-0.6164	0.1187	-0.2778	0.1534	0.2402	0.1158
-0.9318	-0.9318	-1.5511	-1.4383	-0.9145	-1.8405	-1.0765	-0.8826	-1.6871	-0.981	-1.1981	-1.7653	-1.4151	-0.1794	-0.4978	-0.5672	0.3415	-0.4949	0.1678	0.1331	0.0752
-0.8479	-0.8769	-1.5222	-1.4527	-0.9087	-1.9071	-1.1605	-0.9579	-1.855	-1.1286	-1.3312	-2.0257	-1.6524	-0.2691	-0.4254	-0.4804	0.5441	-0.6945	0.1823	0.0492	0.0666
-0.7466	-0.8334	-1.4383	-1.4614	-0.8826	-1.936	-1.2473	-0.9839	-2.0171	-1.3138	-1.4412	-2.2717	-1.9042	-0.382	-0.301	-0.4023	0.7437	-0.8624	0.191	-0.0318	0.0463
-0.6888	-0.7987	-1.3775	-1.4788	-0.8855	-1.9621	-1.3052	-1.0447	-2.1849	-1.4962	-1.5396	-2.5177	-2.127	-0.4746	-0.2431	-0.2923	0.9376	-1.036	0.1852	-0.1158	0.0318
-0.6309	-0.7582	-1.3312	-1.4817	-0.8624	-1.9592	-1.3717	-1.0968	-2.3093	-1.6235	-1.638	-2.7405	-2.3354	-0.5585	-0.1273	-0.2344	1.1113	-1.2212	0.2141	-0.1823	0.0347
-0.599	-0.709	-1.2617	-1.4817	-0.8306	-1.991	-1.4441	-1.1402	-2.4309	-1.7595	-1.7219	-2.9431	-2.5553	-0.6453	-0.0695	-0.1158	1.282	-1.3746	0.2199	-0.2633	0.0521
-0.5643	-0.654	-1.1865	-1.4585	-0.8248	-2.0026	-1.4556	-1.1778	-2.5466	-1.8724	-1.7826	-3.1081	-2.7174	-0.7148	0.0087	-0.0405	1.4238	-1.5222	0.2547	-0.3502	0.0318
