"FZ"	"FC3"	"FCZ"	"FC4"	"C3"	"CZ"	"C4"	"CP3"	"CPZ"	"CP4"	"P3"	"PZ"	"P4"	"OZ"	"FP1"	"FP2"	"A2"	"P8"	"TP7"	"TP8"	"P7"
0.8392	0.7466	0.874	0.5846	0.6019	0.7264	0.3328	0.5267	0.463	0.0723	0.3386	0.3328	0.0145	-0.3039	0.0318	0.3154	0.599	-0.2547	0.4949	0.0174	0.4023
0.8161	0.6888	0.8103	0.5064	0.4891	0.6424	0.2315	0.4341	0.3646	-0.0463	0.2778	0.2286	-0.0984	-0.2923	-0.0029	0.3068	0.5672	-0.2952	0.4514	-0.0058	0.408
0.7785	0.6424	0.764	0.4254	0.3994	0.5643	0.136	0.3241	0.2257	-0.165	0.246	0.1418	-0.191	-0.2749	-0.055	0.2633	0.5441	-0.2981	0.4138	-0.0376	0.3965
0.7437	0.5904	0.7293	0.3617	0.3212	0.4833	0.0695	0.2518	0.1563	-0.2489	0.2315	0.0318	-0.2865	-0.2576	-0.0955	0.2518	0.5006	-0.301	0.3907	-0.0637	0.4283
0.6685	0.518	0.6453	0.2402	0.1852	0.3762	-0.0463	0.1244	0.0145	-0.3444	0.1736	-0.11	-0.3849	-0.2518	-0.1881	0.191	0.4978	-0.3241	0.3502	-0.1158	0.437
0.6453	0.4514	0.5961	0.1707	0.1129	0.327	-0.1476	0.0579	-0.0868	-0.4688	0.1476	-0.1765	-0.4833	-0.2547	-0.2547	0.1621	0.4891	-0.3675	0.3125	-0.1534	0.4543
0.6048	0.3878	0.5383	0.0839	0.0116	0.2141	-0.246	-0.0174	-0.2055	-0.5759	0.11	-0.301	-0.573	-0.2576	-0.3096	0.1273	0.5035	-0.3588	0.2749	-0.1997	0.4717
0.5904	0.3473	0.4833	0.0289	-0.0637	0.1505	-0.3125	-0.0984	-0.3125	-0.6511	0.081	-0.3791	-0.6569	-0.2547	-0.3791	0.0984	0.5006	-0.3762	0.2402	-0.2286	0.492
0.5441	0.272	0.4109	-0.0405	-0.1389	0.0695	-0.3762	-0.1418	-0.4023	-0.7466	0.0521	-0.4804	-0.7524	-0.2633	-0.4804	0.0723	0.518	-0.408	0.2055	-0.2633	0.4833
0.4978	0.2518	0.356	-0.1331	-0.2113	-0.0174	-0.4543	-0.2373	-0.4891	-0.8479	0.0174	-0.5701	-0.8334	-0.2605	-0.5151	0.0492	0.5151	-0.4514	0.1765	-0.3183	0.5006
0.4804	0.191	0.2836	-0.1823	-0.3039	-0.0781	-0.5238	-0.3154	-0.5904	-0.8971	-0.0232	-0.6598	-0.9232	-0.2691	-0.5933	0.0405	0.5267	-0.4717	0.1273	-0.3502	0.4891
0.4138	0.1331	0.2286	-0.2431	-0.3675	-0.1881	-0.599	-0.3907	-0.6888	-1.0129	-0.0376	-0.7842	-1.0244	-0.2691	-0.5961	0.055	0.5238	-0.518	0.0637	-0.3878	0.4717
0.3994	0.0839	0.1505	-0.3299	-0.4514	-0.272	-0.6801	-0.4457	-0.79	-1.0968	-0.0752	-0.8624	-1.1084	-0.2691	-0.5904	0.081	0.518	-0.5383	0.0463	-0.4428	0.4717
0.3588	0.026	0.0752	-0.3791	-0.518	-0.3357	-0.7293	-0.4949	-0.8797	-1.1778	-0.1042	-0.9608	-1.2097	-0.2662	-0.5585	0.1129	0.5122	-0.5585	-0.0058	-0.4717	0.4601
0.3183	-0.0463	0.0145	-0.4514	-0.5904	-0.4486	-0.79	-0.5875	-0.981	-1.2589	-0.1418	-1.0707	-1.308	-0.2662	-0.5296	0.1302	0.5122	-0.6048	-0.0695	-0.518	0.4341
