"Subject"	"Condition"	"Electrode"	"meanAmp_factor"	"Race"	"Fix"
43	"BF"	"Pz"	-1.01173967213115	"Black"	"fore"
43	"WE"	"Pz"	-1.04227147540984	"White"	"eyes"
43	"WF"	"Pz"	-2.13906491803279	"White"	"fore"
44	"BE"	"Pz"	-0.0399067131147541	"Black"	"eyes"
44	"BF"	"Pz"	1.83302672131148	"Black"	"fore"
44	"WE"	"Pz"	0.148091573770492	"White"	"eyes"
44	"WF"	"Pz"	0.150579672131148	"White"	"fore"
45	"BE"	"Pz"	-1.36912262295082	"Black"	"eyes"
45	"BF"	"Pz"	2.37129459016393	"Black"	"fore"
45	"WE"	"Pz"	-1.28613770491803	"White"	"eyes"
45	"WF"	"Pz"	0.106996098360656	"White"	"fore"
46	"BE"	"Pz"	0.406058852459016	"Black"	"eyes"
46	"BF"	"Pz"	-2.08612639344262	"Black"	"fore"
46	"WE"	"Pz"	0.540120459016393	"White"	"eyes"
46	"WF"	"Pz"	-2.1695037704918	"White"	"fore"
47	"BE"	"Pz"	-0.355748295081967	"Black"	"eyes"
47	"BF"	"Pz"	-2.48203901639344	"Black"	"fore"
47	"WE"	"Pz"	-2.02018836065574	"White"	"eyes"
47	"WF"	"Pz"	-0.386161852459016	"White"	"fore"
48	"BE"	"Pz"	-0.335299262295082	"Black"	"eyes"
48	"BF"	"Pz"	1.25380180327869	"Black"	"fore"
48	"WE"	"Pz"	-1.2242868852459	"White"	"eyes"
48	"WF"	"Pz"	1.98284442622951	"White"	"fore"
49	"BE"	"Pz"	-1.09940196721311	"Black"	"eyes"
49	"BF"	"Pz"	-1.23573852459016	"Black"	"fore"
49	"WE"	"Pz"	-1.11779754098361	"White"	"eyes"
49	"WF"	"Pz"	-1.7015868852459	"White"	"fore"
50	"BE"	"Pz"	1.0537106557377	"Black"	"eyes"
50	"BF"	"Pz"	0.928298032786885	"Black"	"fore"
50	"WE"	"Pz"	0.652285262295082	"White"	"eyes"
50	"WF"	"Pz"	0.0424820360655738	"White"	"fore"
51	"BE"	"Pz"	-0.962091967213115	"Black"	"eyes"
51	"BF"	"Pz"	0.713389508196721	"Black"	"fore"
51	"WE"	"Pz"	-1.69731754098361	"White"	"eyes"
51	"WF"	"Pz"	-3.40807606557377	"White"	"fore"
52	"BE"	"Pz"	-4.36090639344262	"Black"	"eyes"
52	"BF"	"Pz"	0.486285770491803	"Black"	"fore"
52	"WE"	"Pz"	-2.64105983606557	"White"	"eyes"
52	"WF"	"Pz"	-3.72815409836066	"White"	"fore"
53	"BE"	"Pz"	-1.0561962295082	"Black"	"eyes"
53	"BF"	"Pz"	2.06695754098361	"Black"	"fore"
53	"WE"	"Pz"	-1.16204852459016	"White"	"eyes"
53	"WF"	"Pz"	1.79641836065574	"White"	"fore"
54	"BE"	"Pz"	-0.462860754098361	"Black"	"eyes"
54	"BF"	"Pz"	0.774106557377049	"Black"	"fore"
54	"WE"	"Pz"	-1.81064393442623	"White"	"eyes"
54	"WF"	"Pz"	0.430178131147541	"White"	"fore"
55	"BE"	"Pz"	-6.07353442622951	"Black"	"eyes"
55	"BF"	"Pz"	-3.98385983606557	"Black"	"fore"
55	"WE"	"Pz"	-5.05576590163934	"White"	"eyes"
55	"WF"	"Pz"	-4.71128754098361	"White"	"fore"
56	"BE"	"Pz"	-2.85886131147541	"Black"	"eyes"
56	"BF"	"Pz"	-2.48448819672131	"Black"	"fore"
56	"WE"	"Pz"	-3.62150836065574	"White"	"eyes"
56	"WF"	"Pz"	-2.26014852459016	"White"	"fore"
57	"BE"	"Pz"	0.00650793163934426	"Black"	"eyes"
57	"BF"	"Pz"	0.11653506557377	"Black"	"fore"
57	"WE"	"Pz"	-1.32370803278689	"White"	"eyes"
57	"WF"	"Pz"	0.414821147540984	"White"	"fore"
58	"BE"	"Pz"	-2.5305562295082	"Black"	"eyes"
58	"BF"	"Pz"	0.173474049180328	"Black"	"fore"
58	"WE"	"Pz"	-1.37045360655738	"White"	"eyes"
58	"WF"	"Pz"	0.381770508196721	"White"	"fore"
59	"BE"	"Pz"	-4.94585819672131	"Black"	"eyes"
59	"BF"	"Pz"	-1.76871721311475	"Black"	"fore"
59	"WE"	"Pz"	-0.784437540983607	"White"	"eyes"
59	"WF"	"Pz"	-2.56564590163934	"White"	"fore"
60	"BE"	"Pz"	-1.85882229508197	"Black"	"eyes"
60	"BF"	"Pz"	-1.9370831147541	"Black"	"fore"
60	"WE"	"Pz"	-1.35437901639344	"White"	"eyes"
60	"WF"	"Pz"	-2.60099639344262	"White"	"fore"
61	"BE"	"Pz"	-2.8633862295082	"Black"	"eyes"
61	"BF"	"Pz"	-0.0178444672131148	"Black"	"fore"
61	"WE"	"Pz"	-3.24722065573771	"White"	"eyes"
61	"WF"	"Pz"	-0.597857475409836	"White"	"fore"
62	"BE"	"Pz"	-1.33103393442623	"Black"	"eyes"
62	"BF"	"Pz"	0.312620081967213	"Black"	"fore"
62	"WE"	"Pz"	-2.12613754098361	"White"	"eyes"
62	"WF"	"Pz"	-0.826409180327869	"White"	"fore"
