"Source.File"	"Sweep.Number"	"Electrode"	"Marker"	"Latency"	"Peak"	"Subject"	"faceRace"	"FixArea"	"Hemisphere"	"Coronal"
"Sub5_Black_eyes.avg"	1	"TP8"	"N170"	153	-3.912119	5	"Black"	"eyes"	"right"	"anterior"
"Sub5_Black_eyes.avg"	1	"P7/T5"	"N170"	148	-7.333609	5	"Black"	"eyes"	"left"	"posterior"
"Sub5_Black_fore.avg"	1	"P8/T6"	"N170"	150	-4.509692	5	"Black"	"fore"	"right"	"posterior"
"Sub5_Black_fore.avg"	1	"TP7"	"N170"	140	-2.628542	5	"Black"	"fore"	"left"	"anterior"
"Sub5_Black_fore.avg"	1	"TP8"	"N170"	150	-2.147171	5	"Black"	"fore"	"right"	"anterior"
"Sub5_Black_fore.avg"	1	"P7/T5"	"N170"	142	-7.090731	5	"Black"	"fore"	"left"	"posterior"
"Sub5_White_eyes.avg"	1	"P8/T6"	"N170"	156	-3.168945	5	"White"	"eyes"	"right"	"posterior"
"Sub5_White_eyes.avg"	1	"TP7"	"N170"	158	-1.80603	5	"White"	"eyes"	"left"	"anterior"
"Sub5_White_eyes.avg"	1	"TP8"	"N170"	160	-0.58075	5	"White"	"eyes"	"right"	"anterior"
"Sub5_White_eyes.avg"	1	"P7/T5"	"N170"	149	-4.625854	5	"White"	"eyes"	"left"	"posterior"
"Sub5_White_fore.avg"	1	"P8/T6"	"N170"	148	-6.977156	5	"White"	"fore"	"right"	"posterior"
"Sub5_White_fore.avg"	1	"TP7"	"N170"	148	-3.011367	5	"White"	"fore"	"left"	"anterior"
"Sub5_White_fore.avg"	1	"TP8"	"N170"	148	-3.67288	5	"White"	"fore"	"right"	"anterior"
"Sub5_White_fore.avg"	1	"P7/T5"	"N170"	148	-6.792854	5	"White"	"fore"	"left"	"posterior"
"Sub6_Black_eyes.avg"	1	"P8/T6"	"N170"	167	-14.005324	6	"Black"	"eyes"	"right"	"posterior"
"Sub6_Black_eyes.avg"	1	"TP7"	"N170"	169	-3.470477	6	"Black"	"eyes"	"left"	"anterior"
"Sub6_Black_eyes.avg"	1	"TP8"	"N170"	168	-8.999544	6	"Black"	"eyes"	"right"	"anterior"
"Sub6_Black_eyes.avg"	1	"P7/T5"	"N170"	170	-6.141214	6	"Black"	"eyes"	"left"	"posterior"
"Sub6_Black_fore.avg"	1	"P8/T6"	"N170"	169	-13.076427	6	"Black"	"fore"	"right"	"posterior"
"Sub6_Black_fore.avg"	1	"TP7"	"N170"	176	-3.380354	6	"Black"	"fore"	"left"	"anterior"
"Sub6_Black_fore.avg"	1	"TP8"	"N170"	173	-8.493823	6	"Black"	"fore"	"right"	"anterior"
"Sub6_Black_fore.avg"	1	"P7/T5"	"N170"	176	-5.999543	6	"Black"	"fore"	"left"	"posterior"
"Sub6_White_eyes.avg"	1	"P8/T6"	"N170"	164	-12.720057	6	"White"	"eyes"	"right"	"posterior"
"Sub6_White_eyes.avg"	1	"TP7"	"N170"	183	-6.210327	6	"White"	"eyes"	"left"	"anterior"
"Sub6_White_eyes.avg"	1	"TP8"	"N170"	165	-8.056641	6	"White"	"eyes"	"right"	"anterior"
"Sub6_White_eyes.avg"	1	"P7/T5"	"N170"	181	-9.390341	6	"White"	"eyes"	"left"	"posterior"
"Sub6_White_fore.avg"	1	"P8/T6"	"N170"	170	-10.251899	6	"White"	"fore"	"right"	"posterior"
"Sub6_White_fore.avg"	1	"TP7"	"N170"	186	-2.460279	6	"White"	"fore"	"left"	"anterior"
"Sub6_White_fore.avg"	1	"TP8"	"N170"	172	-6.077816	6	"White"	"fore"	"right"	"anterior"
"Sub6_White_fore.avg"	1	"P7/T5"	"N170"	182	-4.664371	6	"White"	"fore"	"left"	"posterior"
"Sub7_Black_eyes.avg"	1	"P8/T6"	"N170"	176	-2.963362	7	"Black"	"eyes"	"right"	"posterior"
"Sub7_Black_eyes.avg"	1	"TP7"	"N170"	173	-3.478478	7	"Black"	"eyes"	"left"	"anterior"
"Sub7_Black_eyes.avg"	1	"TP8"	"N170"	202	-2.037311	7	"Black"	"eyes"	"right"	"anterior"
"Sub7_Black_eyes.avg"	1	"P7/T5"	"N170"	174	-6.956955	7	"Black"	"eyes"	"left"	"posterior"
"Sub7_Black_fore.avg"	1	"P8/T6"	"N170"	181	-2.105277	7	"Black"	"fore"	"right"	"posterior"
"Sub7_Black_fore.avg"	1	"TP7"	"N170"	190	-5.654035	7	"Black"	"fore"	"left"	"anterior"
"Sub7_Black_fore.avg"	1	"TP8"	"N170"	184	-0.023978	7	"Black"	"fore"	"right"	"anterior"
"Sub7_Black_fore.avg"	1	"P7/T5"	"N170"	181	-7.620239	7	"Black"	"fore"	"left"	"posterior"
"Sub7_White_eyes.avg"	1	"P8/T6"	"N170"	175	-3.871663	7	"White"	"eyes"	"right"	"posterior"
"Sub7_White_eyes.avg"	1	"TP7"	"N170"	182	-6.764221	7	"White"	"eyes"	"left"	"anterior"
"Sub7_White_eyes.avg"	1	"TP8"	"N170"	176	-0.934346	7	"White"	"eyes"	"right"	"anterior"
"Sub7_White_eyes.avg"	1	"P7/T5"	"N170"	176	-7.967123	7	"White"	"eyes"	"left"	"posterior"
"Sub7_White_fore.avg"	1	"P8/T6"	"N170"	161	-1.463413	7	"White"	"fore"	"right"	"posterior"
"Sub7_White_fore.avg"	1	"TP7"	"N170"	187	-0.162601	7	"White"	"fore"	"left"	"anterior"
"Sub7_White_fore.avg"	1	"TP8"	"N170"	131	-2.192497	7	"White"	"fore"	"right"	"anterior"
"Sub7_White_fore.avg"	1	"P7/T5"	"N170"	167	-3.335953	7	"White"	"fore"	"left"	"posterior"
"Sub8_Black_eyes.avg"	1	"P8/T6"	"N170"	158	-8.455672	8	"Black"	"eyes"	"right"	"posterior"
"Sub8_Black_eyes.avg"	1	"TP7"	"N170"	173	-3.914311	8	"Black"	"eyes"	"left"	"anterior"
"Sub8_Black_eyes.avg"	1	"TP8"	"N170"	156	-5.022733	8	"Black"	"eyes"	"right"	"anterior"
"Sub8_Black_eyes.avg"	1	"P7/T5"	"N170"	168	-4.237337	8	"Black"	"eyes"	"left"	"posterior"
"Sub8_Black_fore.avg"	1	"P8/T6"	"N170"	166	-10.002419	8	"Black"	"fore"	"right"	"posterior"
"Sub8_Black_fore.avg"	1	"TP7"	"N170"	185	-8.690728	8	"Black"	"fore"	"left"	"anterior"
"Sub8_Black_fore.avg"	1	"TP8"	"N170"	167	-6.13262	8	"Black"	"fore"	"right"	"anterior"
"Sub8_Black_fore.avg"	1	"P7/T5"	"N170"	170	-9.222242	8	"Black"	"fore"	"left"	"posterior"
"Sub8_White_eyes.avg"	1	"P8/T6"	"N170"	159	-8.330169	8	"White"	"eyes"	"right"	"posterior"
"Sub8_White_eyes.avg"	1	"TP7"	"N170"	206	-4.659299	8	"White"	"eyes"	"left"	"anterior"
"Sub8_White_eyes.avg"	1	"TP8"	"N170"	160	-4.861337	8	"White"	"eyes"	"right"	"anterior"
"Sub8_White_eyes.avg"	1	"P7/T5"	"N170"	164	-5.336903	8	"White"	"eyes"	"left"	"posterior"
"Sub8_White_fore.avg"	1	"P8/T6"	"N170"	165	-8.037991	8	"White"	"fore"	"right"	"posterior"
"Sub8_White_fore.avg"	1	"TP7"	"N170"	169	-6.88793	8	"White"	"fore"	"left"	"anterior"
"Sub8_White_fore.avg"	1	"TP8"	"N170"	168	-6.141945	8	"White"	"fore"	"right"	"anterior"
"Sub8_White_fore.avg"	1	"P7/T5"	"N170"	168	-5.685029	8	"White"	"fore"	"left"	"posterior"
"Sub9_Black_eyes.avg"	1	"P8/T6"	"N170"	214	-6.546021	9	"Black"	"eyes"	"right"	"posterior"
"Sub9_Black_eyes.avg"	1	"TP7"	"N170"	174	-5.089544	9	"Black"	"eyes"	"left"	"anterior"
